longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.25,37.82,32.0,8.0,5.0,1806.0,1022.0,2.6429,437000.0,NEAR BAY
-122.25,37.82,26.0,7.0,4.0,1749.0,1217.0,3.0233,510000.0,NEAR BAY
-122.25,37.83,52.0,5.0,3.0,939.0,519.0,3.1484,448200.0,NEAR BAY
-122.25,37.83,35.0,4.0,3.0,675.0,422.0,3.4722,486200.0,NEAR BAY
-122.25,37.83,52.0,5.0,3.0,534.0,291.0,3.1429,463200.0,NEAR BAY
-122.25,37.83,28.0,7.0,5.0,2558.0,1661.0,2.4234,437000.0,NEAR BAY
-122.25,37.83,52.0,7.0,6.0,1786.0,1037.0,3.0897,468200.0,NEAR BAY
-122.23,37.84,50.0,4.0,2.0,970.0,373.0,5.8596,655200.0,NEAR BAY
-122.23,37.84,47.0,3.0,3.0,1098.0,485.0,5.2868,695200.0,NEAR BAY
-122.24,37.83,41.0,4.0,2.0,794.0,376.0,5.956,732200.0,NEAR BAY
-122.24,37.85,37.0,3.0,2.0,98.0,47.0,4.9643,670000.0,NEAR BAY
-122.23,37.85,52.0,5.0,3.0,1061.0,403.0,6.3434,747200.0,NEAR BAY
-122.24,37.84,52.0,3.0,3.0,1177.0,555.0,5.1773,779000.0,NEAR BAY
-122.24,37.85,52.0,4.0,2.0,901.0,367.0,7.2354,782200.0,NEAR BAY
-122.22,37.85,28.0,6.0,4.0,2031.0,956.0,5.457,674600.0,NEAR BAY
-122.22,37.84,50.0,4.0,2.0,1031.0,479.0,7.5,590400.0,NEAR BAY
-122.21,37.84,44.0,5.0,2.0,1358.0,597.0,6.0194,584600.0,NEAR BAY
-122.21,37.83,40.0,6.0,3.0,1616.0,654.0,7.5544,823000.0,NEAR BAY
-122.2,37.84,30.0,3.0,2.0,844.0,343.0,6.0666,623000.0,NEAR BAY
-122.21,37.84,34.0,5.0,3.0,1140.0,496.0,7.0548,651800.0,NEAR BAY
-122.19,37.84,18.0,2.0,2.0,533.0,194.0,11.6017,785200.0,NEAR BAY
-122.2,37.84,35.0,5.0,2.0,1072.0,443.0,7.4882,638600.0,NEAR BAY
-122.21,37.83,34.0,5.0,3.0,1627.0,766.0,6.8976,666600.0,NEAR BAY
-122.19,37.83,28.0,2.0,2.0,463.0,190.0,8.2049,670400.0,NEAR BAY
-122.2,37.83,26.0,4.0,3.0,542.0,211.0,8.401,702400.0,NEAR BAY
-122.19,37.83,29.0,5.0,3.0,661.0,269.0,6.8538,737800.0,NEAR BAY
-122.19,37.82,32.0,4.0,3.0,635.0,263.0,8.317,731800.0,NEAR BAY
-122.2,37.82,37.0,3.0,1.0,420.0,176.0,7.0175,733400.0,NEAR BAY
-122.2,37.82,39.0,5.0,2.0,1265.0,500.0,6.3302,725600.0,NEAR BAY
-122.18,37.81,30.0,3.0,2.0,126.0,52.0,6.3624,966600.0,NEAR BAY
-122.21,37.82,52.0,5.0,3.0,813.0,350.0,7.0549,662800.0,NEAR BAY
-122.2,37.81,45.0,3.0,2.0,1067.0,426.0,6.7851,647000.0,NEAR BAY
-122.21,37.8,50.0,4.0,2.0,1260.0,552.0,2.8929,433400.0,NEAR BAY
-122.21,37.8,38.0,5.0,2.0,951.0,487.0,3.0812,466200.0,NEAR BAY
-122.21,37.81,52.0,3.0,2.0,510.0,224.0,5.2402,592800.0,NEAR BAY
-122.22,37.81,52.0,3.0,2.0,765.0,308.0,6.5217,547400.0,NEAR BAY
-122.22,37.8,52.0,4.0,2.0,1129.0,460.0,3.2632,455400.0,NEAR BAY
-122.22,37.8,52.0,4.0,2.0,1073.0,441.0,3.0298,399200.0,NEAR BAY
-122.22,37.8,52.0,3.0,2.0,1185.0,515.0,4.5428,479600.0,NEAR BAY
-122.22,37.81,52.0,5.0,2.0,756.0,340.0,4.072,540200.0,NEAR BAY
-122.22,37.81,52.0,4.0,2.0,1034.0,521.0,5.3509,604200.0,NEAR BAY
-122.23,37.8,52.0,3.0,3.0,787.0,459.0,3.1603,539000.0,NEAR BAY
-122.23,37.81,52.0,4.0,2.0,612.0,213.0,4.7708,629400.0,NEAR BAY
-122.22,37.81,52.0,4.0,3.0,1021.0,380.0,8.1564,780200.0,NEAR BAY
-122.23,37.81,52.0,4.0,2.0,861.0,258.0,8.8793,820600.0,NEAR BAY
-122.24,37.81,52.0,5.0,2.0,953.0,327.0,6.8591,704800.0,NEAR BAY
-122.24,37.81,52.0,3.0,3.0,634.0,256.0,6.0302,574600.0,NEAR BAY
-122.23,37.81,52.0,5.0,3.0,878.0,352.0,7.508,697400.0,NEAR BAY
-122.24,37.81,52.0,3.0,3.0,918.0,483.0,2.7477,487600.0,NEAR BAY
-122.24,37.8,52.0,3.0,2.0,360.0,175.0,2.1944,423000.0,NEAR BAY
-122.25,37.8,52.0,3.0,2.0,1197.0,488.0,3.0149,436800.0,NEAR BAY
-122.24,37.81,52.0,5.0,2.0,1048.0,518.0,3.675,539800.0,NEAR BAY
-122.25,37.81,46.0,6.0,4.0,1373.0,747.0,3.225,437600.0,NEAR BAY
-122.25,37.8,42.0,8.0,4.0,1715.0,1015.0,2.9345,450000.0,NEAR BAY
-122.25,37.8,43.0,7.0,3.0,1359.0,722.0,2.1429,500000.0,NEAR BAY
-122.25,37.8,41.0,4.0,3.0,1062.0,413.0,1.6121,342800.0,NEAR BAY
-122.25,37.8,29.0,7.0,4.0,1335.0,773.0,1.3929,387600.0,NEAR BAY
-122.24,37.79,27.0,4.0,2.0,1171.0,429.0,2.3173,250000.0,NEAR BAY
-122.25,37.79,45.0,3.0,3.0,1475.0,460.0,1.7772,195000.0,NEAR BAY
-122.25,37.79,50.0,3.0,1.0,742.0,196.0,2.6458,250000.0,NEAR BAY
-122.25,37.79,52.0,4.0,3.0,1086.0,363.0,2.181,277600.0,NEAR BAY
-122.25,37.8,36.0,4.0,3.0,1645.0,543.0,2.2303,233400.0,NEAR BAY
-122.25,37.8,43.0,5.0,3.0,1710.0,644.0,1.6504,303600.0,NEAR BAY
-122.24,37.8,52.0,3.0,3.0,731.0,228.0,2.2697,254000.0,NEAR BAY
-122.24,37.8,52.0,3.0,2.0,1118.0,347.0,2.1563,257200.0,NEAR BAY
-122.24,37.8,52.0,3.0,2.0,1006.0,335.0,2.1348,281200.0,NEAR BAY
-122.24,37.8,47.0,3.0,2.0,1213.0,554.0,2.6292,365400.0,NEAR BAY
-122.23,37.8,52.0,3.0,3.0,772.0,257.0,2.3833,293800.0,NEAR BAY
-122.24,37.8,52.0,4.0,2.0,1321.0,401.0,2.957,245600.0,NEAR BAY
-122.24,37.8,49.0,6.0,4.0,1487.0,677.0,2.5238,338600.0,NEAR BAY
-122.23,37.8,52.0,2.0,2.0,488.0,186.0,1.9375,253200.0,NEAR BAY
-122.23,37.8,51.0,3.0,2.0,949.0,392.0,1.9028,255800.0,NEAR BAY
-122.23,37.8,50.0,4.0,2.0,1149.0,415.0,2.25,247000.0,NEAR BAY
-122.23,37.8,52.0,5.0,2.0,844.0,280.0,2.3929,223800.0,NEAR BAY
-122.23,37.79,43.0,7.0,4.0,4367.0,1231.0,2.1917,225600.0,NEAR BAY
-122.23,37.79,52.0,4.0,2.0,1659.0,412.0,2.9357,215800.0,NEAR BAY
-122.23,37.79,30.0,3.0,3.0,1011.0,263.0,1.8854,275000.0,NEAR BAY
-122.24,37.79,39.0,3.0,2.0,1464.0,389.0,2.1638,211000.0,NEAR BAY
-122.24,37.79,47.0,4.0,2.0,1237.0,303.0,2.125,191000.0,NEAR BAY
-122.24,37.79,52.0,2.0,1.0,647.0,168.0,3.375,232200.0,NEAR BAY
-122.24,37.79,43.0,5.0,3.0,1284.0,357.0,2.2542,224400.0,NEAR BAY
-122.25,37.79,51.0,3.0,1.0,228.0,55.0,2.1,150000.0,NEAR BAY
-122.25,37.79,39.0,3.0,1.0,381.0,123.0,1.6,225000.0,NEAR BAY
-122.25,37.79,52.0,5.0,3.0,846.0,227.0,3.625,250000.0,NEAR BAY
-122.26,37.8,20.0,5.0,3.0,1659.0,676.0,1.6929,230000.0,NEAR BAY
-122.22,37.77,52.0,3.0,2.0,520.0,138.0,1.6471,190000.0,NEAR BAY
-122.22,37.77,52.0,5.0,3.0,866.0,259.0,2.59,192800.0,NEAR BAY
-122.23,37.77,52.0,3.0,2.0,612.0,183.0,2.57,144000.0,NEAR BAY
-122.23,37.78,52.0,2.0,2.0,415.0,126.0,2.6429,142600.0,NEAR BAY
-122.23,37.78,52.0,5.0,2.0,994.0,213.0,3.0257,161600.0,NEAR BAY
-122.22,37.78,50.0,4.0,3.0,1525.0,477.0,1.4886,257600.0,NEAR BAY
-122.23,37.78,43.0,4.0,3.0,1506.0,438.0,1.9338,225000.0,NEAR BAY
-122.23,37.78,52.0,5.0,3.0,1008.0,255.0,1.4844,238800.0,NEAR BAY
-122.23,37.78,44.0,6.0,3.0,2813.0,751.0,1.6009,236200.0,NEAR BAY
-122.23,37.79,48.0,5.0,3.0,1481.0,343.0,2.0375,245000.0,NEAR BAY
-122.23,37.79,49.0,3.0,2.0,859.0,219.0,2.293,212600.0,NEAR BAY
-122.22,37.79,37.0,3.0,3.0,1608.0,523.0,2.1494,265000.0,NEAR BAY
-122.23,37.79,30.0,2.0,1.0,425.0,140.0,1.6198,245400.0,NEAR BAY
-122.23,37.79,40.0,2.0,2.0,564.0,184.0,1.3281,226600.0,NEAR BAY
-122.22,37.79,44.0,5.0,3.0,961.0,272.0,3.5156,219000.0,NEAR BAY
-122.22,37.79,52.0,6.0,3.0,2273.0,685.0,3.9048,329400.0,NEAR BAY
-122.21,37.79,52.0,2.0,1.0,600.0,195.0,3.0893,250000.0,NEAR BAY
-122.22,37.79,46.0,3.0,3.0,1647.0,527.0,2.6042,249400.0,NEAR BAY
-122.22,37.79,49.0,3.0,3.0,1201.0,424.0,2.5,273400.0,NEAR BAY
-122.22,37.79,38.0,5.0,3.0,2167.0,659.0,2.7969,283400.0,NEAR BAY
-122.2,37.79,29.0,5.0,3.0,939.0,340.0,2.8321,300000.0,NEAR BAY
-122.21,37.79,47.0,3.0,2.0,859.0,292.0,2.9583,277600.0,NEAR BAY
-122.21,37.79,34.0,3.0,2.0,1517.0,516.0,2.8365,278400.0,NEAR BAY
-122.21,37.79,35.0,5.0,3.0,1143.0,386.0,2.875,287600.0,NEAR BAY
-122.21,37.8,39.0,4.0,2.0,1109.0,464.0,3.0682,313000.0,NEAR BAY
-122.21,37.8,39.0,3.0,2.0,1221.0,446.0,3.0757,302000.0,NEAR BAY
-122.2,37.8,43.0,4.0,2.0,1115.0,455.0,4.9559,546000.0,NEAR BAY
-122.2,37.8,52.0,3.0,2.0,706.0,268.0,4.7721,434200.0,NEAR BAY
-122.21,37.8,52.0,5.0,4.0,1883.0,706.0,3.4861,374200.0,NEAR BAY
-122.2,37.8,41.0,4.0,3.0,804.0,340.0,5.1184,479200.0,NEAR BAY
-122.21,37.8,48.0,3.0,2.0,506.0,252.0,4.0977,459400.0,NEAR BAY
-122.19,37.8,48.0,3.0,2.0,610.0,238.0,4.744,514600.0,NEAR BAY
-122.19,37.8,46.0,3.0,3.0,768.0,332.0,4.2727,493800.0,NEAR BAY
-122.19,37.79,50.0,2.0,2.0,462.0,184.0,2.9844,359800.0,NEAR BAY
-122.2,37.79,40.0,3.0,3.0,667.0,235.0,4.1739,339200.0,NEAR BAY
-122.2,37.8,46.0,3.0,3.0,1059.0,399.0,3.8487,406600.0,NEAR BAY
-122.19,37.8,52.0,4.0,3.0,637.0,277.0,4.0114,526800.0,NEAR BAY
-122.19,37.79,45.0,3.0,2.0,1106.0,454.0,4.6563,463600.0,NEAR BAY
-122.19,37.79,28.0,5.0,4.0,1737.0,669.0,2.9297,281000.0,NEAR BAY
-122.2,37.79,35.0,5.0,2.0,1009.0,390.0,2.3036,252000.0,NEAR BAY
-122.2,37.79,49.0,4.0,3.0,737.0,210.0,2.6667,244000.0,NEAR BAY
-122.2,37.79,44.0,3.0,2.0,1354.0,491.0,2.619,269400.0,NEAR BAY
-122.21,37.79,45.0,3.0,3.0,1530.0,474.0,2.4167,278800.0,NEAR BAY
-122.2,37.79,45.0,4.0,2.0,1410.0,480.0,2.7788,230800.0,NEAR BAY
-122.21,37.78,46.0,4.0,2.0,1390.0,569.0,2.7352,274600.0,NEAR BAY
-122.21,37.78,52.0,3.0,3.0,1065.0,269.0,1.8472,274000.0,NEAR BAY
-122.21,37.78,52.0,4.0,2.0,792.0,245.0,2.6583,285200.0,NEAR BAY
-122.21,37.78,49.0,3.0,3.0,779.0,245.0,3.0536,275000.0,NEAR BAY
-122.22,37.78,44.0,7.0,4.0,2269.0,610.0,2.3906,223400.0,NEAR BAY
-122.21,37.78,43.0,5.0,3.0,1227.0,407.0,1.7188,253600.0,NEAR BAY
-122.21,37.78,47.0,5.0,3.0,753.0,241.0,2.625,222600.0,NEAR BAY
-122.22,37.77,40.0,3.0,2.0,547.0,135.0,2.8015,229600.0,NEAR BAY
-122.22,37.78,50.0,5.0,2.0,1807.0,440.0,1.7276,204600.0,NEAR BAY
-122.22,37.78,44.0,4.0,3.0,1700.0,495.0,2.0801,263800.0,NEAR BAY
-122.22,37.78,51.0,4.0,3.0,1543.0,393.0,2.489,238200.0,NEAR BAY
-122.21,37.76,52.0,3.0,2.0,1085.0,300.0,1.7546,161200.0,NEAR BAY
-122.21,37.77,52.0,3.0,1.0,353.0,137.0,4.0904,161200.0,NEAR BAY
-122.21,37.77,52.0,2.0,1.0,473.0,149.0,2.6765,177600.0,NEAR BAY
-122.2,37.77,49.0,3.0,3.0,1621.0,483.0,2.4338,204800.0,NEAR BAY
-122.21,37.77,46.0,3.0,3.0,1183.0,354.0,2.3309,197400.0,NEAR BAY
-122.21,37.77,43.0,5.0,2.0,836.0,277.0,2.2604,200000.0,NEAR BAY
-122.19,37.77,42.0,4.0,2.0,900.0,263.0,1.8039,184600.0,NEAR BAY
-122.2,37.77,39.0,3.0,3.0,1888.0,537.0,2.2562,189600.0,NEAR BAY
-122.2,37.77,41.0,4.0,2.0,1024.0,341.0,2.0562,204000.0,NEAR BAY
-122.2,37.78,52.0,4.0,3.0,1225.0,423.0,3.5398,316800.0,NEAR BAY
-122.2,37.78,39.0,5.0,3.0,1071.0,376.0,3.1167,243200.0,NEAR BAY
-122.2,37.78,50.0,5.0,3.0,1128.0,378.0,2.5401,258200.0,NEAR BAY
-122.2,37.77,43.0,5.0,2.0,1537.0,484.0,2.898,242800.0,NEAR BAY
-122.21,37.78,44.0,4.0,3.0,1240.0,393.0,2.3125,205600.0,NEAR BAY
-122.19,37.78,52.0,2.0,1.0,469.0,168.0,2.875,320000.0,NEAR BAY
-122.19,37.77,52.0,3.0,3.0,1086.0,425.0,3.3715,287800.0,NEAR BAY
-122.19,37.77,52.0,3.0,3.0,1144.0,417.0,3.5114,302400.0,NEAR BAY
-122.19,37.78,52.0,4.0,2.0,1109.0,375.0,4.3125,328800.0,NEAR BAY
-122.19,37.78,52.0,3.0,3.0,984.0,369.0,3.22,313000.0,NEAR BAY
-122.18,37.78,33.0,2.0,1.0,575.0,47.0,3.875,450000.0,NEAR BAY
-122.19,37.78,49.0,5.0,3.0,496.0,209.0,5.2328,348400.0,NEAR BAY
-122.19,37.78,52.0,2.0,1.0,555.0,190.0,3.7262,333800.0,NEAR BAY
-122.2,37.78,45.0,3.0,2.0,869.0,327.0,4.5893,327000.0,NEAR BAY
-122.18,37.79,39.0,3.0,2.0,236.0,106.0,5.2578,506000.0,NEAR BAY
-122.18,37.79,41.0,5.0,2.0,626.0,214.0,7.0875,481400.0,NEAR BAY
-122.18,37.79,46.0,3.0,2.0,922.0,329.0,3.9712,416200.0,NEAR BAY
-122.19,37.79,47.0,4.0,2.0,582.0,256.0,2.9514,396200.0,NEAR BAY
-122.19,37.79,50.0,4.0,3.0,546.0,201.0,2.6667,345600.0,NEAR BAY
-122.18,37.81,37.0,4.0,2.0,620.0,266.0,5.4446,673400.0,NEAR BAY
-122.18,37.8,34.0,3.0,1.0,442.0,195.0,6.2838,636400.0,NEAR BAY
-122.18,37.8,23.0,5.0,2.0,955.0,328.0,6.7527,571600.0,NEAR BAY
-122.13,37.77,24.0,4.0,2.0,916.0,324.0,7.0712,586000.0,NEAR BAY
-122.16,37.79,22.0,9.0,4.0,4985.0,1967.0,5.9849,742000.0,NEAR BAY
-122.17,37.78,42.0,4.0,2.0,651.0,267.0,3.6875,314600.0,NEAR BAY
-122.17,37.77,30.0,5.0,3.0,1704.0,703.0,2.875,270600.0,NEAR BAY
-122.18,37.78,43.0,3.0,3.0,1085.0,407.0,3.4205,273400.0,NEAR BAY
-122.18,37.78,50.0,5.0,3.0,713.0,284.0,3.2984,321400.0,NEAR BAY
-122.17,37.78,49.0,2.0,2.0,468.0,181.0,3.875,281200.0,NEAR BAY
-122.17,37.78,52.0,2.0,1.0,296.0,121.0,4.175,288000.0,NEAR BAY
-122.16,37.77,47.0,3.0,3.0,570.0,218.0,4.375,323800.0,NEAR BAY
-122.16,37.77,48.0,2.0,1.0,446.0,180.0,4.7708,312600.0,NEAR BAY
-122.16,37.77,45.0,3.0,3.0,968.0,384.0,3.5739,352000.0,NEAR BAY
